Province/State,lat,lng,Country/Region,Last Update,Confirmed,Deaths,Recovered
Tokyo,35.6803997,139.7690174,Japan,3,2,0,0
Thailand,15.870032,100.992541,Thailand,3,7,0,0
Seoul,37.566535,126.9779692,South Korea,3,2,0,0
Singapore,1.352083,103.819836,Singapore,3,3,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,3,2,0,0
Paris,48.856614,2.3522219,France,3,3,0,0
Sydney,-33.8688197,151.2092955,Australia,3,4,0,0
Kathmandu,27.7172453,85.3239605,Nepal,3,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,3,3,0,0
Guangdong,23.3790333,113.7632828,China,4,111,0,2
Zhejiang,29.1416432,119.7889248,China,4,104,0,1
Henan,34.2904302,113.3823545,China,4,83,1,0
Chongqing,29.4315861,106.912251,China,4,75,0,0
Hunan,27.6252995,111.8568586,China,4,69,0,0
Beijing,39.9041999,116.4073963,China,4,68,0,2
Anhui,30.6006773,117.9249002,China,4,60,0,0
Shandong,35.8939566,117.9249002,China,4,46,0,0
Sichuan,30.2638032,102.8054753,China,4,44,0,0
Shanghai,31.230416,121.473701,China,4,40,1,1
Guangxi,23.7247599,108.8076195,China,4,36,0,0
Jiangxi,27.0874564,114.9042208,China,4,36,0,0
Fujian,26.4836842,117.9249002,China,4,35,0,0
Jiangsu,33.1401715,119.7889248,China,4,33,0,1
Hainan,19.5663947,109.949686,China,4,22,0,0
Shaanxi,35.3939908,109.1880047,China,4,22,0,0
Liaoning,41.9436543,122.5290376,China,4,21,0,0
Yunnan,24.4752847,101.3431058,China,4,16,0,0
Heilongjiang,47.1216472,128.738231,China,4,15,1,0
Tianjin,39.3433574,117.3616476,China,4,14,0,0
Hebei,37.8956594,114.9042208,China,4,13,1,0
Shanxi,37.2425649,111.8568586,China,4,9,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,4,8,0,0
Inner Mongolia,43.37822,115.0594815,China,4,7,0,0
Gansu,35.7518326,104.2861116,China,4,7,0,0
Guizhou,26.8429645,107.2902839,China,4,5,0,0
Macau,22.198745,113.543873,Macau,4,5,0,0
Ningxia,37.198731,106.1580937,China,4,4,0,0
Jilin,43.837883,126.549572,China,4,4,0,0
Taiwan,23.69781,120.960515,Taiwan,4,4,0,0
Xinjiang,42.5246357,87.5395855,China,4,4,0,0
Qinghai,35.744798,96.4077358,China,4,1,0,0
Washington,47.7510741,-120.7401385,US,4,1,0,0
Illinois,40.6331249,-89.3985283,US,4,1,0,0
California,36.778261,-119.4179324,US,4,2,0,0
Arizona,34.0489281,-111.0937311,US,4,1,0,0
Tokyo,35.6803997,139.7690174,Japan,4,4,0,1
Bangkok,13.7563309,100.5017651,Thailand,4,8,0,2
Seoul,37.566535,126.9779692,South Korea,4,3,0,0
Singapore,1.352083,103.819836,Singapore,4,4,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,4,2,0,0
Paris,48.856614,2.3522219,France,4,3,0,0
Sydney,-33.8688197,151.2092955,Australia,4,4,0,0
Kathmandu,27.7172453,85.3239605,Nepal,4,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,4,4,0,0
Ontario,51.253775,-85.323214,Canada,4,1,0,0
Guangdong,23.3790333,113.7632828,China,5,151,0,4
Zhejiang,29.1416432,119.7889248,China,5,128,0,1
Henan,34.2904302,113.3823545,China,5,128,1,0
Chongqing,29.4315861,106.912251,China,5,110,0,0
Hunan,27.6252995,111.8568586,China,5,100,0,0
Beijing,39.9041999,116.4073963,China,5,80,1,2
Shandong,35.8939566,117.9249002,China,5,75,0,0
Jiangxi,27.0874564,114.9042208,China,5,72,0,2
Anhui,30.6006773,117.9249002,China,5,70,0,0
Sichuan,30.2638032,102.8054753,China,5,69,0,0
Fujian,26.4836842,117.9249002,China,5,59,0,0
Shanghai,31.230416,121.473701,China,5,53,1,3
Jiangsu,33.1401715,119.7889248,China,5,47,0,1
Guangxi,23.7247599,108.8076195,China,5,46,0,0
Shaanxi,35.3939908,109.1880047,China,5,35,0,0
Hainan,19.5663947,109.949686,China,5,33,1,0
Liaoning,41.9436543,122.5290376,China,5,27,0,0
Yunnan,24.4752847,101.3431058,China,5,26,0,0
Tianjin,39.3433574,117.3616476,China,5,23,0,0
Heilongjiang,47.1216472,128.738231,China,5,21,1,0
